name,year,genre,duration,rating,url
Rocky,1976,Drama,2h,8.1,https://www.imdb.com/title/tt0075148/?ref_=adv_li_tt
Blade Runner,1982,Action,1h 57m,8.1,https://www.imdb.com/title/tt0083658/?ref_=adv_li_tt
Stand by Me,1986,Adventure,1h 29m,8.1,https://www.imdb.com/title/tt0092005/?ref_=adv_li_tt
Platoon,1986,Drama,2h,8.1,https://www.imdb.com/title/tt0091763/?ref_=adv_li_tt
In the Name of the Father,1993,Biography,2h 13m,8.1,https://www.imdb.com/title/tt0107207/?ref_=adv_li_tt
Groundhog Day,1993,Comedy,1h 41m,8.1,https://www.imdb.com/title/tt0107048/?ref_=adv_li_tt
Before Sunrise,1995,Drama,1h 41m,8.1,https://www.imdb.com/title/tt0112471/?ref_=adv_li_tt
La haine,1995,Crime,1h 38m,8.1,https://www.imdb.com/title/tt0113247/?ref_=adv_li_tt
Trainspotting,1996,Drama,1h 33m,8.1,https://www.imdb.com/title/tt0117951/?ref_=adv_li_tt
Dead Poets Society,1989,Comedy,2h 8m,8.1,https://www.imdb.com/title/tt0097165/?ref_=adv_li_tt
Amores perros,2000,Drama,2h 34m,8.1,https://www.imdb.com/title/tt0245712/?ref_=adv_li_tt
The Iron Giant,1999,Animation,1h 26m,8.1,https://www.imdb.com/title/tt0129167/?ref_=adv_li_tt
Catch Me If You Can,2002,Biography,2h 21m,8.1,https://www.imdb.com/title/tt0264464/?ref_=adv_li_tt
The Handmaiden,2016,Drama,2h 25m,8.1,https://www.imdb.com/title/tt4016934/?ref_=adv_li_tt
Room,2015,Drama,1h 58m,8.1,https://www.imdb.com/title/tt3170832/?ref_=adv_li_tt
The Gold Rush,1925,Adventure,1h 35m,8.2,https://www.imdb.com/title/tt0015864/?ref_=adv_li_tt
The General,1926,Action,1h 7m,8.2,https://www.imdb.com/title/tt0017925/?ref_=adv_li_tt
The Passion of Joan of Arc,1928,Biography,1h 54m,8.2,https://www.imdb.com/title/tt0019254/?ref_=adv_li_tt
